DateTime_x,Temperature,Humidity,CO2PPM,CO2M,pH,WTEMP,EC,Wlevel,Temperature1,Humidity1,Temperature2,Humidity2,Temperature3,Humidity3,CO2PPM4,CO2M4,DateTime_y,Acondition,FreshAir,Mtank,WaterCooler,TubeFan,UV,Humidifier,O3,HallLight,CO2,Nutrition,Acid,CirclePump,SeedPump,SeedSpray,SeedA,SeedA.1,SeedB,SeedC,AA,AB,AC,BA,BB,BC,CA,CB,CC,DA,DB,DC,Motor1L,Motor1R,Motor2R,Motor2L,Motor3R,Motor3L,Motor4L,Motor4R,EqipRoomFan,StandBy,DateTime
2024-09-12 19:34:38.493070,22.0,79.0,352,0.0006395392173471,pH,WTEMP,EC,748,22.6,74.5,21.5,78.4,21.1,79.9,681,0.0012410747663551,2024-09-12 19:34:29.603081,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:34:00
2024-09-12 19:36:23.358264,22.0,79.2,349,0.0006340885990174,pH,WTEMP,EC,748,22.6,75.0,21.5,79.1,21.2,80.1,747,0.0013608926448105,2024-09-12 19:36:14.579309,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:36:00
2024-09-12 19:38:07.851836,22.1,78.9,354,0.0006429551227773,pH,WTEMP,EC,748,22.6,75.0,21.5,78.3,21.2,80.1,747,0.0013608926448105,2024-09-12 19:37:59.009203,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:38:00
2024-09-12 19:39:09.852123,22.0,78.6,362,0.0006577079451126,pH,WTEMP,EC,748,22.6,74.2,21.5,78.3,21.2,80.1,747,0.0013608926448105,2024-09-12 19:39:00.967770,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:39:00
2024-09-12 19:40:11.743808,22.0,77.1,365,0.0006631585634423,pH,WTEMP,EC,748,22.6,74.2,21.5,78.3,21.2,79.3,747,0.0013608926448105,2024-09-12 19:40:02.925052,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:40:00
2024-09-12 19:41:13.545206,22.0,74.5,365,0.0006631585634423,pH,WTEMP,EC,748,22.6,74.2,21.6,75.6,21.2,79.3,776,0.0014137251571258,2024-09-12 19:41:04.760921,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:41:00
2024-09-12 19:42:15.556052,22.0,74.4,365,0.0006631585634423,pH,WTEMP,EC,748,22.6,70.2,21.6,75.6,21.1,75.8,776,0.0014142056074766,2024-09-12 19:42:06.617686,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:42:00
2024-09-12 19:43:17.441258,22.0,74.9,365,0.0006631585634423,pH,WTEMP,EC,748,22.6,70.2,21.6,75.6,21.1,75.8,776,0.0014142056074766,2024-09-12 19:43:08.652347,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:43:00
2024-09-12 19:44:19.341400,22.0,75.6,364,0.0006613416906657,pH,WTEMP,EC,748,22.6,70.2,21.5,74.5,21.1,75.8,776,0.0014142056074766,2024-09-12 19:44:10.502232,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:44:00
2024-09-12 19:48:32.112949,22.0,77.9,377,0.0006849610367609,pH,WTEMP,EC,748,22.5,73.3,21.4,76.9,21.1,78.8,700,0.0012757009345794,2024-09-12 19:48:23.295330,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:48:00
2024-09-12 19:49:34.022103,22.0,78.1,389,0.0007067635100796,pH,WTEMP,EC,748,22.5,73.3,21.4,76.9,21.1,78.8,700,0.0012757009345794,2024-09-12 19:49:25.186831,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:49:00
2024-09-12 19:51:24.842864,22.1,78.4,394,0.0007156054191363,pH,WTEMP,EC,748,22.6,73.7,21.5,78.0,21.2,79.6,858,0.0015631136402242,2024-09-12 19:51:16.018086,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:51:00
2024-09-12 19:52:26.787331,22.1,78.5,401,0.0007283192209991,pH,WTEMP,EC,748,22.6,73.7,21.5,78.0,21.2,79.6,858,0.0015631136402242,2024-09-12 19:52:17.972577,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,2024-09-12 19:52:00
